STIONNAME,BSDIRECTIO,gd_lng,gd_lat,name,Calc_Dir
北站(三元里大道)站,,113.2542419,23.16291053,三元里大道,北-南
景安街总站,,113.2565832,23.1689598,心谊路,北-南
广州市儿童公园南门站,,113.2712525,23.18160944,齐心路,东-西
广州体育馆西南门站,,113.2747159,23.1796446,金园路,西-东
颐和上院站,,113.2702864,23.1763264,云城东路,南-北
岗贝路口站,,113.2522964,23.17912673,三元里大道,南-北
水边街(三元里大道口)站,,113.2514965,23.17631203,水边街,南-北
松云街口站,,113.2576868,23.17657561,松云街,东-西
云城东路口站,,113.2616372,23.16465523,云城东路,南-北
平安大街站,,113.2708073,23.1666521,平安大街,东-西
北站(三元里大道)站,,113.2541819,23.16393115,三元里大道,南-北
云城东路(兴发广场西门)站,,113.2628992,23.166135,云城东路,北-南
北站(三元里大道)站,,113.2537649,23.16509799,三元里大道,南-北
旧机场北门站,,113.2594984,23.17923104,机场路,北-南
云城南二路站,,113.2642134,23.17153503,云城南二路,东-西
岗贝路站,西,113.2551638,23.18002949,岗贝路,东-西
岗贝路东站,西,113.2572978,23.1803709,岗贝路,东-西
云城南四路站,西,113.2680511,23.17691927,云城南四路,东-西
交电新村站,西,113.2657632,23.15913289,广园中路辅路,东-西
德康路站,西,113.2502943,23.17963736,德康路,东-西
云霄路站,西,113.2654071,23.18338017,云霄路,东-西
广州体育馆南门站,西,113.274779,23.17986034,金园路,东-西
远景路站2,西,113.2548467,23.17260178,远景路,东-西
地铁飞翔公园站,西,113.2635667,23.16960097,云城南一路,东-西
广园新村站1,西,113.2684244,23.1586746,广园中路辅路,东-西
乐嘉路西站,西,113.254731,23.16748838,乐嘉路,东-西
远景路站1,西,113.2566672,23.17274236,远景路,东-西
乐嘉路中站,西,113.2559996,23.16770208,乐嘉路,东-西
乐嘉路站,西,113.2580522,23.16808287,乐嘉路,东-西
地铁白云公园站,西,113.2710945,23.18168514,齐心路,东-西
云龙路口站,西,113.2706135,23.17015843,金钟横路,东-西
沙涌站2,南,113.2528094,23.16764097,三元里大道,北-南
颐和上院站,,113.2701876,23.17645766,云城东路,北-南
地铁飞翔公园站,,113.264925,23.16886824,云城南一路,西-东
地铁飞翔公园站总站,总站,113.263527,23.16954774,云城南一路,西-东
童心北站,,113.2700402,23.15786689,下塘西路,南-北
阅江路总站（宝地广场对面）,西,113.3427,23.10354435,芳园路,西-东
星河湾中心,东,113.3461604,23.10124278,琶洲大道,西-东
赫基大厦,东,113.3473494,23.10123556,琶洲大道,西-东
欧派国际广场,东,113.3488801,23.10114266,琶洲大道,东-西
铭丰广场,东,113.344393,23.10352076,芳园路,西-东
开元广场南门,西,113.3445598,23.10362332,芳园路,东-西
国美.智慧城,东,113.3464956,23.10354202,芳园路,西-东
国美.智慧城对面,西,113.3465389,23.10362766,芳园路,东-西
宝地广场对面,西,113.342317,23.10354811,芳园路,西-东
磨碟沙地铁站H口对面铭丰广场侧,北,113.3437947,23.10189281,海洲路,南-北
唯品会大厦对面,东,113.3491131,23.10357415,芳园路,西-东
唯品会大厦门口,西,113.3491152,23.10367541,芳园路,东-西
华新中心侧,东,113.3404219,23.10129063,琶洲大道,西-东
新港东路左侧掉头虚拟点,西,113.3466346,23.09877784,新港东路,东-西
芳园路口站（北行）,北,113.3345717,23.1032845,磨碟沙路,南-北
芳园路站（西行）,西,113.3375549,23.10369769,芳园路,东-西
芳园路站（东行）,东,113.3370249,23.10363508,芳园路,西-东
阅江西路东站（西行）,西,113.3490676,23.10545494,阅江西路,东-西
阅江西路东站（东行）,东,113.3507549,23.10507799,阅江西路,西-东
阅江西路中站（东行）,东,113.3445042,23.1062793,阅江西路,西-东
阅江西路中站（西行）,西,113.3445098,23.10643034,阅江西路,东-西
阅江西路西站（东行）,东,113.3351339,23.10704332,阅江西路,西-东
阅江西路西站（西行）,西,113.3358195,23.10746592,阅江西路,东-西
阅江路（珠江啤酒厂）站（总站）,南,113.3437299,23.10341073,海洲路,北-南
海港花园站②（西行）,西,113.3428751,23.0987592,新港东路,东-西
海港花园站（东行）,东,113.3453179,23.0985603,新港东路,西-东
磨碟沙公园站（南行）,南,113.3337932,23.10529613,磨碟沙路,北-南
磨碟沙站（西行）,西,113.3407213,23.09873605,新港东路,东-西
磨碟沙站（东行）,东,113.3397439,23.09852651,新港东路,西-东
磨碟沙路站（北行）,北,113.335488,23.09908417,磨碟沙路,南-北
磨碟沙路站（东行）,东,113.3358989,23.09853887,磨碟沙路,北-南
芳园路东站（东行）,东,113.3397991,23.10358715,芳园路,西-东
芳园路东站（西行）,西,113.3396828,23.10366065,芳园路,东-西
海港花园站（西行）,西,113.3444984,23.09877507,新港东路,东-西
天河南行,,113.333779,23.130131,天河南路,南-北
冼村3,,113.329914,23.127281,冼村路,西-东
体育西横街路口,,113.321464,23.128604,体育西路,北-南
体育中心1,,113.323615,23.133478,体育中心路,东-西
